GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,$781,378,"$295,044.12",0.123
GeForce RTX 2080 Super,$568,232,"$131,683.20",0.1496
GeForce RTX 2080,$498,220,"$109,615.00",0.165
GeForce RTX 2070 Super,$484,407,"$197,049.05",0.1578
GeForce RTX 2070,$419,243,"$101,812.14",0.1621
GeForce RTX 2060 Super,$445,238,"$105,805.28",0.1464
GeForce RTX 2060,$315,708,"$223,083.72",0.1752
GeForce GTX 1660 Ti,$303,317,"$96,206.33",0.1447
GeForce GTX 1660 Super,$317,764,"$241,867.12",0.1402
GeForce GTX 1660,$257,201,"$51,560.52",0.1555
GeForce GTX 1650 Super,$203,138,"$28,054.02",0.1633
GeForce GTX 1650,$194,434,"$84,031.08",0.1374
Radeon RX 5700 XT,$550,1004,"$551,718.08",0.1341
Radeon RX 5700,$489,167,"$81,637.95",0.1326
Radeon RX 5600 XT,$358,355,"$126,930.25",0.1625
Radeon RX 5500 XT 8GB,$249,87,"$21,632.55",0.1601
Radeon RX 5500 XT 4GB,$179,40,"$7,143.20",0.1876
