GPU,Apr eBay Price,QTY Sold,Mar eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,663",342,"$1,795",-7.3%,0.0912
GeForce RTX 4080,"$1,054",171,"$1,081",-2.5%,0.1352
GeForce RTX 4070 Ti,$801,90,$851,-5.9%,0.1691
GeForce RTX 4070,$734,28,—,—,0.1684
GeForce RTX 3090 Ti,$947,131,"$1,051",-9.9%,0.14
GeForce RTX 3090,$758,1206,$789,-3.9%,0.1683
GeForce RTX 3080 Ti,$651,539,$680,-4.1%,0.1934
GeForce RTX 3080 12GB,$602,71,$661,-8.8%,0.2061
GeForce RTX 3080,$496,1205,$537,-7.6%,0.2399
GeForce RTX 3070 Ti,$432,527,$446,-3.0%,0.2446
GeForce RTX 3070,$349,1879,$360,-3.2%,0.2884
GeForce RTX 3060 Ti,$308,1183,$323,-4.8%,0.3001
GeForce RTX 3060,$280,712,$292,-4.1%,0.2605
GeForce RTX 3050,$220,161,$241,-8.6%,0.2357
Radeon RX 7900 XTX,$954,44,"$1,045",-8.7%,0.1546
Radeon RX 7900 XT,$758,27,$759,-0.1%,0.1862
Radeon RX 6950 XT,$611,65,$654,-6.4%,0.2222
Radeon RX 6900 XT,$544,200,$543,0.1%,0.2428
Radeon RX 6800 XT,$461,249,$469,-1.7%,0.2763
Radeon RX 6800,$400,183,$390,2.7%,0.2908
Radeon RX 6750 XT,$334,31,$361,-7.5%,0.3125
Radeon RX 6700 XT,$291,658,$300,-3.0%,0.345
Radeon RX 6700 10GB,$282,12,$308,-8.3%,0.3054
Radeon RX 6650 XT,$242,59,$243,-0.5%,0.3305
Radeon RX 6600 XT,$208,378,$212,-2.0%,0.3753
Radeon RX 6600,$173,298,$179,-3.6%,0.3902
Radeon RX 6500 XT,$103,64,$126,-18.1%,0.2977
Radeon RX 6400,$134,39,$131,1.7%,0.1808
Intel Arc A770 16GB,$322,24,$326,-1.1%,0.2383
Intel Arc A770 8GB,$320,1,$248,29.3%,0.2287
Intel Arc A750,$211,10,$211,0.3%,0.3216
Intel Arc A380,$118,10,$119,-1.4%,0.2415
