GPU,Avg eBay Price,QTY Sold,Retail Price,Last Price,Monthly Change,FPS/$
GeForce RTX 3090 Ti,"$1,247",123,"$1,100","$1,452",-14.1%,0.1062
GeForce RTX 3090,$957,772,$960,"$1,057",-9.5%,0.1323
GeForce RTX 3080 Ti,$836,557,$800,$901,-7.2%,0.1476
GeForce RTX 3080 12GB,$771,128,$760,$773,-0.3%,0.1616
GeForce RTX 3080,$665,1066,$740,$696,-4.5%,0.1748
GeForce RTX 3070 Ti,$547,556,$625,$593,-7.9%,0.1905
GeForce RTX 3070,$463,1284,$525,$488,-5.0%,0.2154
GeForce RTX 3060 Ti,$424,1253,$450,$437,-3.0%,0.2158
GeForce RTX 3060,$339,722,$370,$355,-4.6%,0.2073
GeForce RTX 3050,$279,78,$300,$288,-3.1%,0.1843
Radeon RX 6950 XT,$914,11,$910,$843,8.5%,0.1501
Radeon RX 6900 XT,$685,266,$700,$697,-1.8%,0.1895
Radeon RX 6800 XT,$563,144,$600,$615,-8.5%,0.2196
Radeon RX 6800,$486,102,$560,$513,-5.3%,0.2279
Radeon RX 6750 XT,$456,14,$470,$505,-9.6%,0.2219
Radeon RX 6700 XT,$378,373,$420,$393,-3.9%,0.2533
Radeon RX 6650 XT,$345,22,$300,$359,-4.1%,0.2319
Radeon RX 6600 XT,$274,183,$300,$285,-3.8%,0.2844
Radeon RX 6600,$232,218,$240,$235,-1.5%,0.2875
Radeon RX 6500 XT,$153,50,$176,$162,-5.5%,0.2017
Radeon RX 6400,$143,14,$135,$157,-8.9%,0.1653
