GPU,Avg eBay Price,QTY Sold,Last Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$492,322,$517,-4.8%,0.1949
GeForce RTX 2080 Super,$371,198,$403,-8.0%,0.2289
GeForce RTX 2080,$335,153,$347,-3.3%,0.2451
GeForce RTX 2070 Super,$302,345,$322,-6.3%,0.2534
GeForce RTX 2070,$268,193,$286,-6.2%,0.253
GeForce RTX 2060 Super,$267,185,$276,-3.2%,0.2433
GeForce RTX 2060,$217,340,$227,-4.2%,0.2542
GeForce GTX 1660 Ti,$172,190,$183,-6.0%,0.261
GeForce GTX 1660 Super,$178,580,$186,-4.5%,0.2551
GeForce GTX 1660,$154,139,$173,-11.1%,0.2611
GeForce GTX 1650 Super,$147,133,$151,-2.7%,0.2313
GeForce GTX 1650,$138,247,$149,-7.4%,0.1954
Radeon RX 5700 XT,$276,802,$276,0.0%,0.2666
Radeon RX 5700,$256,132,$257,-0.3%,0.253
Radeon RX 5600 XT,$192,216,$194,-1.3%,0.3033
Radeon RX 5500 XT 8GB,$159,38,$160,-0.2%,0.2503
Radeon RX 5500 XT 4GB,$118,20,$149,-21.4%,0.2849
