GPU,Aug eBay Price,QTY Sold,Retail Price,July eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$335,173,"$1,200",$343,-2.3%,0.2927
GeForce RTX 2080 Super,$232,212,$700,$238,-2.2%,0.3737
GeForce RTX 2080,$206,104,$700,$197,4.8%,0.4058
GeForce RTX 2070 Super,$189,191,$500,$192,-1.4%,0.4132
GeForce RTX 2070,$169,130,$500,$168,0.4%,0.4158
GeForce RTX 2060 Super,$160,113,$400,$166,-3.6%,0.4127
GeForce RTX 2060,$138,345,$215,$135,2.2%,0.4039
GeForce GTX 1660 Ti,$112,180,$295,$105,6.8%,0.4021
GeForce GTX 1660 Super,$101,517,$213,$103,-1.7%,0.4478
GeForce GTX 1660,$88,83,$220,$89,-1.9%,0.4594
GeForce GTX 1650 Super,$93,96,$250,$95,-1.9%,0.3643
GeForce GTX 1650 GDDR6,$82,142,$130,$96,-14.3%,0.3519
GeForce GTX 1650,$102,98,$200,$95,7.8%,0.2649
GeForce GTX 1630,$69,2,$120,$43,60.5%,0.2445
Radeon RX 5700 XT,$133,574,$400,$137,-3.6%,0.5532
Radeon RX 5700,$119,111,$350,$120,-0.9%,0.542
Radeon RX 5600 XT,$97,92,$280,$107,-9.3%,0.5968
Radeon RX 5500 XT 8GB,$91,36,$200,$88,4.0%,0.4359
Radeon RX 5500 XT 4GB,$67,9,$170,$68,-2.3%,0.5003
