GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090,"$2,918",1295,"$3,778,227",0.0523
GeForce RTX 3080 Ti,"$1,992",1141,"$2,273,306",0.075
GeForce RTX 3080,"$1,783",1495,"$2,665,436",0.0797
GeForce RTX 3070 Ti,"$1,244",1063,"$1,322,223",0.1
GeForce RTX 3070,"$1,179",1891,"$2,228,846",0.0989
GeForce RTX 3060 Ti,"$1,007",2796,"$2,816,019",0.1056
GeForce RTX 3060 12GB,$761,2020,"$1,536,897",0.1099
Radeon RX 6900 XT,"$1,527",236,"$360,271",0.097
Radeon RX 6800 XT,"$1,387",234,"$324,640",0.1026
Radeon RX 6800,"$1,282",90,"$115,368",0.102
Radeon RX 6700 XT,$898,584,"$524,286",0.1247
Radeon RX 6600 XT,$659,282,"$185,892",0.1338
Radeon RX 6600,$578,346,"$200,012",0.13
