GPU,Dec eBay Price,QTY Sold,Nov eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$398,403,$397,0.2%,0.2414
GeForce RTX 2080 Super,$282,209,$292,-3.4%,0.3008
GeForce RTX 2080,$268,167,$266,0.7%,0.3064
GeForce RTX 2070 Super,$251,385,$250,0.5%,0.3042
GeForce RTX 2070,$220,211,$212,3.8%,0.308
GeForce RTX 2060 Super,$214,258,$212,1.0%,0.3044
GeForce RTX 2060,$184,336,$181,2.0%,0.2994
GeForce GTX 1660 Ti,$139,252,$137,1.0%,0.3242
GeForce GTX 1660 Super,$136,970,$131,4.0%,0.3336
GeForce GTX 1660,$120,142,$117,2.4%,0.3356
GeForce GTX 1650 Super,$119,147,$115,3.9%,0.2839
GeForce GTX 1650,$124,385,$123,1.3%,0.2161
Radeon RX 5700 XT,$168,990,$167,0.6%,0.4375
Radeon RX 5700,$157,144,$151,3.9%,0.4129
Radeon RX 5600 XT,$129,246,$131,-2.2%,0.4519
Radeon RX 5500 XT 8GB,$124,50,$123,0.3%,0.3217
Radeon RX 5500 XT 4GB,$91,11,$110,-17.8%,0.3687
