GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090,"$2,341",968,"$2,266,446",0.0652
GeForce RTX 3080 Ti,"$1,721",753,"$1,295,725",0.0868
GeForce RTX 3080 12GB,"$1,547",82,"$126,882",0.0919
GeForce RTX 3080,"$1,440",1222,"$1,759,069",0.0987
GeForce RTX 3070 Ti,"$1,001",929,"$929,678",0.1243
GeForce RTX 3070,$988,1512,"$1,493,765",0.118
GeForce RTX 3060 Ti,$847,2084,"$1,764,273",0.1256
GeForce RTX 3060 12GB,$636,1485,"$945,143",0.1314
GeForce RTX 3050,$455,330,"$150,226",0.1354
Radeon RX 6900 XT,"$1,421",139,"$197,565",0.1042
Radeon RX 6800 XT,"$1,176",192,"$225,869",0.121
Radeon RX 6800,"$1,033",112,"$115,667",0.1267
Radeon RX 6700 XT,$783,398,"$311,546",0.1431
Radeon RX 6600 XT,$568,320,"$181,731",0.1553
Radeon RX 6600,$463,239,"$110,676",0.1623
Radeon RX 6500 XT,$272,124,"$33,766",0.1408
