GPU,Feb eBay Price,QTY Sold,Jan eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,866",354,"$2,062",-9.5%,0.0812
GeForce RTX 4080,"$1,155",165,"$1,253",-7.8%,0.1234
GeForce RTX 4070 Ti,$902,79,$910,-0.9%,0.1500
GeForce RTX 3090 Ti,"$1,068",144,"$1,097",-2.7%,0.1242
GeForce RTX 3090,$790,1177,$817,-3.3%,0.1615
GeForce RTX 3080 Ti,$728,756,$768,-5.2%,0.1730
GeForce RTX 3080 12GB,$691,121,$748,-7.7%,0.1798
GeForce RTX 3080,$555,1452,$588,-5.6%,0.2147
GeForce RTX 3070 Ti,$478,666,$483,-0.9%,0.2212
GeForce RTX 3070,$383,1959,$397,-3.6%,0.2627
GeForce RTX 3060 Ti,$330,1648,$331,-0.3%,0.2799
GeForce RTX 3060,$290,934,$287,1.0%,0.2515
GeForce RTX 3050,$237,117,$237,0.2%,0.2186
Radeon RX 7900 XTX,"$1,131",44,"$1,240",-8.8%,0.1304
Radeon RX 7900 XT,$784,22,$846,-7.4%,0.1802
Radeon RX 6950 XT,$690,57,$733,-5.9%,0.1970
Radeon RX 6900 XT,$578,192,$639,-9.5%,0.2282
Radeon RX 6800 XT,$490,303,$507,-3.5%,0.2599
Radeon RX 6800,$410,176,$431,-4.7%,0.2835
Radeon RX 6750 XT,$386,13,$396,-2.5%,0.2702
Radeon RX 6700 XT,$309,554,$320,-3.4%,0.3242
Radeon RX 6700 10GB,$316,4,$285,10.8%,0.2731
Radeon RX 6650 XT,$263,28,$258,2.1%,0.3038
Radeon RX 6600 XT,$210,592,$215,-2.3%,0.3717
Radeon RX 6600,$185,284,$187,-1.3%,0.3647
Radeon RX 6500 XT,$131,48,$126,4.3%,0.2332
Radeon RX 6400,$136,54,$144,-5.7%,0.1781
Intel Arc A770 16GB,$334,9,$323,3.6%,0.2297
Intel Arc A770 8GB,—,0,—,—,—
Intel Arc A750,$239,11,$253,-5.6%,0.2848
Intel Arc A380,$120,7,$100,19.6%,0.2375
