GPU,Jan eBay Price,QTY Sold,Jan eBay Price.1,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$390,380,$390,0.0%,0.2518
GeForce RTX 2080 Super,$291,160,$301,-3.3%,0.2988
GeForce RTX 2080,$253,165,$261,-2.9%,0.3301
GeForce RTX 2070 Super,$246,328,$249,-1.1%,0.3182
GeForce RTX 2070,$218,178,$215,1.3%,0.3223
GeForce RTX 2060 Super,$203,193,$213,-4.6%,0.3263
GeForce RTX 2060,$178,344,$183,-2.6%,0.3142
GeForce GTX 1660 Ti,$141,289,$140,1.0%,0.3188
GeForce GTX 1660 Super,$132,890,$132,0.1%,0.3423
GeForce GTX 1660,$108,141,$116,-6.8%,0.3715
GeForce GTX 1650 Super,$113,83,$110,3.5%,0.2986
GeForce GTX 1650,$118,307,$122,-3.6%,0.2292
Radeon RX 5700 XT,$164,795,$165,-0.5%,0.446
Radeon RX 5700,$148,139,$169,-12.0%,0.435
Radeon RX 5600 XT,$128,151,$129,-0.6%,0.4525
Radeon RX 5500 XT 8GB,$100,100,$105,-4.3%,0.3962
Radeon RX 5500 XT 4GB,$82,29,$90,-8.7%,0.4077
