GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090,"$2,609",1353,"$3,529,558",0.0585
GeForce RTX 3080 Ti,"$1,874",871,"$1,632,428",0.0797
GeForce RTX 3080,"$1,613",1569,"$2,530,546",0.0881
GeForce RTX 3070 Ti,"$1,179",1010,"$1,190,740",0.1055
GeForce RTX 3070,"$1,086",1786,"$1,939,542",0.1074
GeForce RTX 3060 Ti,$923,2380,"$2,195,883",0.1152
GeForce RTX 3060 12GB,$711,1834,"$1,304,377",0.1176
GeForce RTX 3050,$539,17,"$9,160",0.1144
Radeon RX 6900 XT,"$1,528",209,"$319,362",0.0969
Radeon RX 6800 XT,"$1,269",250,"$317,190",0.1122
Radeon RX 6800,"$1,150",105,"$120,797",0.1137
Radeon RX 6700 XT,$847,540,"$457,326",0.1322
Radeon RX 6600 XT,$610,537,"$327,457",0.1446
Radeon RX 6600,$516,449,"$231,814",0.1456
Radeon RX 6500 XT,$365,14,"$5,114",0.105
