GPU,Jan eBay Price,QTY Sold,Retail Price,Dec eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$2,062",563,"$1,599","$2,194",-6.1%,0.0717
GeForce RTX 4080,"$1,253",128,"$1,200","$1,374",-8.8%,0.1128
GeForce RTX 4070 Ti,$910,39,$820,-,—,0.1430
GeForce RTX 3090 Ti,"$1,097",185,"$1,633","$1,182",-7.2%,0.1199
GeForce RTX 3090,$817,1188,"$1,300",$867,-5.7%,0.1568
GeForce RTX 3080 Ti,$768,681,$849,$846,-9.2%,0.1644
GeForce RTX 3080 12GB,$748,112,"$1,060",$810,-7.7%,0.1682
GeForce RTX 3080,$588,1522,$699,$616,-4.7%,0.2041
GeForce RTX 3070 Ti,$483,723,$599,$499,-3.3%,0.2184
GeForce RTX 3070,$397,1978,$479,$397,-0.1%,0.2514
GeForce RTX 3060 Ti,$331,1840,$389,$332,-0.3%,0.2766
GeForce RTX 3060,$287,977,$330,$285,0.9%,0.2442
GeForce RTX 3050,$237,88,$276,$237,-0.2%,0.2172
Radeon RX 7900 XTX,"$1,240",109,"$1,070","$1,433",-13.4%,0.1145
Radeon RX 7900 XT,$846,13,$880,"$1,140",-25.8%,0.1592
Radeon RX 6950 XT,$733,36,$700,$726,0.9%,0.1932
Radeon RX 6900 XT,$639,160,$780,$657,-2.6%,0.2127
Radeon RX 6800 XT,$507,370,$540,$531,-4.4%,0.2551
Radeon RX 6800,$431,140,$480,$441,-2.3%,0.2734
Radeon RX 6750 XT,$396,13,$375,$405,-2.3%,0.2662
Radeon RX 6700 XT,$320,655,$339,$318,0.6%,0.3116
Radeon RX 6700 10GB,$285,2,$320,$323,-11.6%,0.3077
Radeon RX 6650 XT,$258,16,$260,$334,-22.9%,0.3095
Radeon RX 6600 XT,$215,543,$275,$219,-1.9%,0.3624
Radeon RX 6600,$187,311,$230,$184,1.8%,0.3568
Radeon RX 6500 XT,$126,41,$150,$138,-9.0%,0.2447
Radeon RX 6400,$144,42,$135,$138,4.3%,0.1645
Intel Arc A770 16GB,$323,11,$349,$384,-16.0%,0.2407
Intel Arc A770 8GB,—,0,$320,$730,—,—
Intel Arc A750,$253,4,$250,$254,-0.3%,0.2660
Intel Arc A380,$100,1,$140,$131,-23.7%,0.2832
