GPU,Jan eBay Price,QTY Sold,Dec eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$390,395,$398,-2.0%,0.2463
GeForce RTX 2080 Super,$301,235,$282,6.5%,0.2825
GeForce RTX 2080,$261,161,$268,-2.8%,0.3152
GeForce RTX 2070 Super,$249,344,$251,-1.0%,0.3072
GeForce RTX 2070,$215,203,$220,-2.3%,0.3151
GeForce RTX 2060 Super,$213,191,$214,-0.5%,0.306
GeForce RTX 2060,$183,417,$184,-0.9%,0.3021
GeForce GTX 1660 Ti,$140,225,$139,0.6%,0.3223
GeForce GTX 1660 Super,$132,845,$136,-2.8%,0.3432
GeForce GTX 1660,$116,178,$120,-3.0%,0.346
GeForce GTX 1650 Super,$110,131,$119,-8.3%,0.3095
GeForce GTX 1650,$122,326,$124,-1.9%,0.2202
Radeon RX 5700 XT,$165,948,$168,-1.9%,0.4461
Radeon RX 5700,$169,158,$157,7.4%,0.3845
Radeon RX 5600 XT,$129,181,$129,0.0%,0.4518
Radeon RX 5500 XT 8GB,$105,114,$124,-15.5%,0.3807
Radeon RX 5500 XT 4GB,$90,22,$91,-1.4%,0.3741
