GPU,Avg eBay Price,QTY Sold,Retail Price,Last Price,Monthly Change,FPS/$
GeForce RTX 3090 Ti,"$1,452",80,"$1,400","$1,538",-5.6%,0.0912
GeForce RTX 3090,"$1,057",828,"$1,204","$1,098",-3.7%,0.1198
GeForce RTX 3080 Ti,$901,432,$950,$956,-5.8%,0.137
GeForce RTX 3080 12GB,$773,101,$799,$835,-7.4%,0.1611
GeForce RTX 3080,$696,1186,$800,$728,-4.4%,0.167
GeForce RTX 3070 Ti,$593,549,$674,$620,-4.4%,0.1755
GeForce RTX 3070,$488,1459,$550,$518,-5.8%,0.2046
GeForce RTX 3060 Ti,$437,1428,$471,$461,-5.1%,0.2093
GeForce RTX 3060,$355,478,$390,$379,-6.2%,0.1978
GeForce RTX 3050,$288,116,$300,$304,-5.4%,0.1785
Radeon RX 6950 XT,$843,9,"$1,000","$1,069",-21.2%,0.1629
Radeon RX 6900 XT,$697,160,$749,$767,-9.0%,0.186
Radeon RX 6800 XT,$615,188,$670,$625,-1.5%,0.2009
Radeon RX 6800,$513,149,$580,$551,-6.9%,0.2159
Radeon RX 6750 XT,$505,3,$500,$513,-1.6%,0.2005
Radeon RX 6700 XT,$393,518,$449,$407,-3.3%,0.2434
Radeon RX 6650 XT,$359,33,$340,$368,-2.3%,0.2223
Radeon RX 6600 XT,$285,423,$330,$299,-4.5%,0.2736
Radeon RX 6600,$235,275,$260,$258,-8.7%,0.2833
Radeon RX 6500 XT,$162,44,$168,$171,-5.2%,0.1905
Radeon RX 6400,$157,7,$140,$153,2.5%,0.1506
