GPU,Avg eBay Price,QTY Sold,Last Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$517,328,$564,-8.2%,0.1855
GeForce RTX 2080 Super,$403,188,$407,-0.8%,0.2105
GeForce RTX 2080,$347,203,$348,-0.4%,0.2371
GeForce RTX 2070 Super,$322,402,$342,-5.8%,0.2375
GeForce RTX 2070,$286,227,$310,-7.7%,0.2372
GeForce RTX 2060 Super,$276,173,$298,-7.4%,0.2356
GeForce RTX 2060,$227,522,$241,-5.7%,0.2435
GeForce GTX 1660 Ti,$183,225,$200,-8.5%,0.2392
GeForce GTX 1660 Super,$186,608,$201,-7.4%,0.2389
GeForce GTX 1660,$173,133,$174,-0.1%,0.2301
GeForce GTX 1650 Super,$151,111,$171,-12.1%,0.2205
GeForce GTX 1650,$149,237,$155,-4.2%,0.179
Radeon RX 5700 XT,$276,856,$314,-12.1%,0.2667
Radeon RX 5700,$257,164,$286,-10.0%,0.2523
Radeon RX 5600 XT,$194,260,$215,-9.6%,0.2993
Radeon RX 5500 XT 8GB,$160,31,$174,-8.5%,0.2497
Radeon RX 5500 XT 4GB,$149,29,$156,-4.4%,0.224
