GPU,July eBay Price,QTY Sold,Retail Price,June eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$343,175,"$1,200",$370,-7.4%,0.286
GeForce RTX 2080 Super,$238,163,$700,$233,1.9%,0.3654
GeForce RTX 2080,$197,92,$700,$210,-6.3%,0.4251
GeForce RTX 2070 Super,$192,203,$500,$204,-5.7%,0.4074
GeForce RTX 2070,$168,124,$500,$173,-2.4%,0.4175
GeForce RTX 2060 Super,$166,154,$400,$177,-6.2%,0.3978
GeForce RTX 2060,$135,297,$215,$148,-8.4%,0.4127
GeForce GTX 1660 Ti,$105,213,$295,$115,-8.7%,0.4293
GeForce GTX 1660 Super,$103,616,$213,$107,-4.1%,0.4403
GeForce GTX 1660,$89,98,$220,$87,2.6%,0.4508
GeForce GTX 1650 Super,$95,86,$250,$102,-7.3%,0.3573
GeForce GTX 1650 GDDR6,$96,108,$130,$97,-1.8%,0.3017
GeForce GTX 1650,$95,67,$200,$101,-6.0%,0.2855
GeForce GTX 1630,$43,2,$120,$108,-60.0%,0.3924
Radeon RX 5700 XT,$137,601,$400,$132,4.2%,0.5334
Radeon RX 5700,$120,91,$350,$120,0.3%,0.5368
Radeon RX 5600 XT,$107,81,$280,$102,4.7%,0.5411
Radeon RX 5500 XT 8GB,$88,54,$200,$99,-11.9%,0.4532
Radeon RX 5500 XT 4GB,$68,18,$170,$60,12.9%,0.4888
