GPU,Avg eBay Price,QTY Sold,Last Price,Monthly Change,Gross Sales,FPS/$
GeForce RTX 2080 Ti,$564,292,$686,-17.8%,"$164,580",0.1703
GeForce RTX 2080 Super,$407,174,$498,-18.4%,"$70,745",0.2088
GeForce RTX 2080,$348,157,$430,-19.0%,"$54,677",0.236
GeForce RTX 2070 Super,$342,305,$409,-16.4%,"$104,170",0.2238
GeForce RTX 2070,$310,157,$365,-15.0%,"$48,681",0.219
GeForce RTX 2060 Super,$298,153,$370,-19.4%,"$45,623",0.2182
GeForce RTX 2060,$241,328,$282,-14.6%,"$78,894",0.2295
GeForce GTX 1660 Ti,$200,193,$252,-20.5%,"$38,679",0.219
GeForce GTX 1660 Super,$201,506,$249,-19.3%,"$101,620",0.2212
GeForce GTX 1660,$174,76,$214,-19.1%,"$13,188",0.2298
GeForce GTX 1650 Super,$171,82,$183,-6.4%,"$14,051",0.1938
GeForce GTX 1650,$155,316,$175,-11.1%,"$49,053",0.1714
Radeon RX 5700 XT,$314,725,$449,-30.1%,"$227,839",0.2345
Radeon RX 5700,$286,133,$381,-25.1%,"$37,986",0.227
Radeon RX 5600 XT,$215,74,$294,-27.0%,"$15,891",0.2705
Radeon RX 5500 XT 8GB,$174,31,$216,-19.4%,"$5,407",0.2284
Radeon RX 5500 XT 4GB,$156,22,$160,-2.3%,"$3,441",0.214
