GPU,June eBay Price,QTY Sold,Retail Price,May eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$370,222,"$1,200",$377,-1.7%,0.2649
GeForce RTX 2080 Super,$233,183,$700,$250,-6.8%,0.3722
GeForce RTX 2080,$210,123,$700,$218,-3.6%,0.3981
GeForce RTX 2070 Super,$204,235,$500,$210,-3.0%,0.3843
GeForce RTX 2070,$173,135,$500,$180,-4.2%,0.4075
GeForce RTX 2060 Super,$177,108,$400,$190,-6.6%,0.3733
GeForce RTX 2060,$148,474,$240,$154,-3.9%,0.3781
GeForce GTX 1660 Ti,$115,163,$240,$129,-11.1%,0.392
GeForce GTX 1660 Super,$107,688,$200,$114,-5.7%,0.4222
GeForce GTX 1660,$87,88,$218,$96,-9.5%,0.4623
GeForce GTX 1650 Super,$102,58,$219,$101,1.4%,0.3313
GeForce GTX 1650,$99,204,$179,$109,-9.5%,0.2733
Radeon RX 5700 XT,$132,743,$400,$151,-12.4%,0.5558
Radeon RX 5700,$120,92,$350,$129,-7.2%,0.5384
Radeon RX 5600 XT,$102,89,$280,$118,-13.7%,0.5664
Radeon RX 5500 XT 8GB,$99,32,$200,$96,3.4%,0.3993
Radeon RX 5500 XT 4GB,$60,11,$170,$101,-40.5%,0.552
