GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,$889,348,"$309,378.96",0.108
GeForce RTX 2080 Super,$690,177,"$122,170.71",0.123
GeForce RTX 2080,$625,173,"$108,085.21",0.1316
GeForce RTX 2070 Super,$563,359,"$202,228.29",0.1356
GeForce RTX 2070,$511,208,"$106,267.20",0.1329
GeForce RTX 2060 Super,$512,269,"$137,824.84",0.1271
GeForce RTX 2060,$380,429,"$163,152.99",0.1451
GeForce GTX 1660 Ti,$353,264,"$93,273.84",0.1243
GeForce GTX 1660 Super,$360,977,"$352,081.49",0.1232
GeForce GTX 1660,$303,191,"$57,804.24",0.1318
GeForce GTX 1650 Super,$240,203,"$48,687.52",0.1384
GeForce GTX 1650,$223,450,"$100,386.00",0.1192
Radeon RX 5700 XT,$602,964,"$580,453.32",0.1224
Radeon RX 5700,$564,146,"$82,326.48",0.1149
Radeon RX 5600 XT,$414,227,"$94,082.42",0.1402
Radeon RX 5500 XT 8GB,$292,77,"$22,462.44",0.1364
Radeon RX 5500 XT 4GB,$225,15,"$3,368.70",0.1492
