GPU,Mar eBay Price,QTY Sold,Feb eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,795",339,"$1,866",-3.8%,0.0845
GeForce RTX 4080,"$1,081",189,"$1,155",-6.4%,0.1319
GeForce RTX 4070 Ti,$851,110,$902,-5.7%,0.1591
GeForce RTX 3090 Ti,"$1,051",167,"$1,068",-1.6%,0.1262
GeForce RTX 3090,$789,1123,$790,-0.1%,0.1617
GeForce RTX 3080 Ti,$680,725,$728,-6.6%,0.1854
GeForce RTX 3080 12GB,$661,83,$691,-4.3%,0.188
GeForce RTX 3080,$537,1354,$555,-3.1%,0.2216
GeForce RTX 3070 Ti,$446,710,$478,-6.7%,0.2372
GeForce RTX 3070,$360,2186,$383,-5.9%,0.2791
GeForce RTX 3060 Ti,$323,1706,$330,-2.1%,0.2858
GeForce RTX 3060,$292,779,$290,0.7%,0.2497
GeForce RTX 3050,$241,159,$237,1.5%,0.2154
Radeon RX 7900 XTX,"$1,045",39,"$1,131",-7.6%,0.1412
Radeon RX 7900 XT,$759,26,$784,-3.1%,0.186
Radeon RX 6950 XT,$654,59,$690,-5.2%,0.2079
Radeon RX 6900 XT,$543,238,$578,-6.1%,0.2431
Radeon RX 6800 XT,$469,300,$490,-4.3%,0.2715
Radeon RX 6800,$390,183,$410,-5.1%,0.2987
Radeon RX 6750 XT,$361,26,$386,-6.5%,0.289
Radeon RX 6700 XT,$300,622,$309,-3.2%,0.3348
Radeon RX 6700 10GB,$308,4,$316,-2.5%,0.28
Radeon RX 6650 XT,$243,28,$263,-7.6%,0.3289
Radeon RX 6600 XT,$212,430,$210,1.1%,0.3678
Radeon RX 6600,$179,365,$185,-3.1%,0.3763
Radeon RX 6500 XT,$126,57,$131,-4.3%,0.2437
Radeon RX 6400,$131,27,$136,-3.1%,0.1838
Intel Arc A770 16GB,$326,11,$334,-2.6%,0.2358
Intel Arc A770 8GB,$248,2,—,—,0.2957
Intel Arc A750,$211,20,$239,-11.7%,0.3226
Intel Arc A380,$119,11,$120,-0.2%,0.238
