GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,$686,349,"$239,277.89",0.14
GeForce RTX 2080 Super,$498,178,"$88,640.44",0.1705
GeForce RTX 2080,$430,170,"$73,055.80",0.1913
GeForce RTX 2070 Super,$409,336,"$137,326.56",0.1869
GeForce RTX 2070,$365,216,"$78,775.20",0.1862
GeForce RTX 2060 Super,$370,163,"$60,288.81",0.176
GeForce RTX 2060,$282,441,"$124,190.01",0.196
GeForce GTX 1660 Ti,$252,206,"$51,903.76",0.1742
GeForce GTX 1660 Super,$249,530,"$131,864.00",0.1785
GeForce GTX 1660,$214,113,"$24,235.11",0.186
GeForce GTX 1650 Super,$183,135,"$24,715.80",0.1813
GeForce GTX 1650,$175,349,"$60,924.93",0.1524
Radeon RX 5700 XT,$449,883,"$396,855.52",0.164
Radeon RX 5700,$381,113,"$43,075.60",0.17
Radeon RX 5600 XT,$294,189,"$55,566.00",0.1976
Radeon RX 5500 XT 8GB,$216,59,"$12,769.96",0.1839
Radeon RX 5500 XT 4GB,$160,29,"$4,640.58",0.2093
