GPU,May eBay Price,QTY Sold,Retail Price,Apr eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,581",277,"$1,589","$1,663",-4.9%,0.0959
GeForce RTX 4080,"$1,054",133,"$1,108","$1,054",-0.1%,0.1353
GeForce RTX 4070 Ti,$785,104,$790,$801,-2.0%,0.1725
GeForce RTX 4070,$611,106,$585,$734,-16.8%,0.2023
GeForce RTX 4060 Ti,$410,1,$400,—,—,0.2481
GeForce RTX 3090 Ti,$951,122,"$1,595",$947,0.4%,0.1394
GeForce RTX 3090,$771,914,"$1,249",$758,1.7%,0.1654
GeForce RTX 3080 Ti,$631,500,"$1,000",$651,-3.1%,0.1995
GeForce RTX 3080 12GB,$526,56,"$1,050",$602,-12.8%,0.2363
GeForce RTX 3080,$458,1028,$639,$496,-7.8%,0.2601
GeForce RTX 3070 Ti,$394,414,$490,$432,-8.8%,0.2682
GeForce RTX 3070,$318,1540,$400,$349,-8.6%,0.3157
GeForce RTX 3060 Ti,$293,1013,$333,$308,-4.8%,0.3152
GeForce RTX 3060,$268,599,$260,$280,-4.4%,0.2723
GeForce RTX 3050,$206,122,$220,$220,-6.3%,0.2515
Radeon RX 7900 XTX,$890,50,$980,$954,-6.7%,0.1657
Radeon RX 7900 XT,$718,37,$780,$758,-5.3%,0.1966
Radeon RX 7600,—,0,$257,—,—,—
Radeon RX 6950 XT,$588,67,$630,$611,-3.8%,0.2310
Radeon RX 6900 XT,$512,124,$780,$544,-5.8%,0.2578
Radeon RX 6800 XT,$439,206,$500,$461,-4.8%,0.2904
Radeon RX 6800,$377,151,$490,$400,-5.7%,0.3083
Radeon RX 6750 XT,$352,25,$330,$334,5.4%,0.2965
Radeon RX 6700 XT,$278,596,$310,$291,-4.4%,0.3609
Radeon RX 6700 10GB,$231,8,$279,$282,-18.1%,0.3728
Radeon RX 6650 XT,$226,39,$230,$242,-6.6%,0.3538
Radeon RX 6600 XT,$192,308,$230,$208,-7.8%,0.4069
Radeon RX 6600,$157,323,$180,$173,-8.8%,0.4279
Radeon RX 6500 XT,$110,34,$147,$103,7.3%,0.2773
Radeon RX 6400,$111,48,$135,$134,-17.1%,0.2181
Intel Arc A770 16GB,$315,36,$390,$322,-2.2%,0.2437
Intel Arc A770 8GB,-,0,$330,$320,—,-
Intel Arc A750,$218,16,$240,$211,3.3%,0.3113
Intel Arc A380,$122,3,$140,$118,3.5%,0.2334
