GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090,"$2,936",1305,"$3,831,389",0.052
GeForce RTX 3080 Ti,"$1,895",1483,"$2,810,033",0.0788
GeForce RTX 3080,"$1,720",1448,"$2,490,184",0.0827
GeForce RTX 3070 Ti,"$1,201",1258,"$1,511,474",0.1035
GeForce RTX 3070,"$1,193",2380,"$2,840,316",0.0977
GeForce RTX 3060 Ti,"$1,002",2166,"$2,169,596",0.1061
GeForce RTX 3060 12GB,$749,2159,"$1,616,897",0.1117
Radeon RX 6900 XT,"$1,599",206,"$329,301",0.0926
Radeon RX 6800 XT,"$1,384",283,"$391,768",0.1028
Radeon RX 6800,"$1,332",123,"$163,802",0.0982
Radeon RX 6700 XT,$945,661,"$624,526",0.1185
Radeon RX 6600 XT,$665,857,"$570,076",0.1326
Radeon RX 6600,$588,377,"$221,815",0.1278
