GPU,Nov eBay Price,QTY Sold,Retail Price,Oct eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$397,443,"$1,200",$410,-3.2%,0.2419
GeForce RTX 2080 Super,$292,170,$700,$309,-5.3%,0.2906
GeForce RTX 2080,$266,182,$700,$277,-4.0%,0.3085
GeForce RTX 2070 Super,$250,351,$500,$262,-4.4%,0.3056
GeForce RTX 2070,$212,265,$500,$226,-5.8%,0.3196
GeForce RTX 2060 Super,$212,236,$400,$218,-3.0%,0.3074
GeForce RTX 2060,$181,389,$220,$184,-1.8%,0.3053
GeForce GTX 1660 Ti,$137,316,$230,$139,-1.1%,0.3276
GeForce GTX 1660 Super,$131,819,$180,$131,-0.6%,0.347
GeForce GTX 1660,$117,135,$170,$120,-2.4%,0.3438
GeForce GTX 1650 Super,$115,108,$222,$120,-3.9%,0.2951
GeForce GTX 1650,$123,277,$170,$126,-2.8%,0.2189
Radeon RX 5700 XT,$167,793,$400,$177,-5.5%,0.4401
Radeon RX 5700,$151,87,$350,$157,-4.0%,0.4292
Radeon RX 5600 XT,$131,189,$280,$134,-2.3%,0.4421
Radeon RX 5500 XT 8GB,$123,40,$200,$121,2.2%,0.3227
Radeon RX 5500 XT 4GB,$110,19,$170,$99,11.2%,0.3031
