GPU,Oct eBay Price,QTY Sold,Retail Price,Sept eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$2,333",1139,"$2,199",—,—,0.0632
GeForce RTX 3090 Ti,"$1,105",269,"$1,449","$1,117",-1.1%,0.1183
GeForce RTX 3090,$812,1789,"$1,250",$834,-2.6%,0.1558
GeForce RTX 3080 Ti,$755,888,"$1,000",$754,0.1%,0.1635
GeForce RTX 3080 12GB,$663,163,$846,$684,-3.0%,0.1878
GeForce RTX 3080,$562,2038,$700,$585,-4.0%,0.207
GeForce RTX 3070 Ti,$459,821,$600,$493,-6.9%,0.2268
GeForce RTX 3070,$376,2278,$510,$409,-8.1%,0.2653
GeForce RTX 3060 Ti,$320,1989,$381,$355,-9.9%,0.2861
GeForce RTX 3060,$286,1106,$340,$312,-8.6%,0.2458
GeForce RTX 3050,$241,103,$265,$260,-7.2%,0.213
Radeon RX 6950 XT,$752,23,$830,$795,-5.4%,0.1834
Radeon RX 6900 XT,$623,261,$655,$645,-3.3%,0.2131
Radeon RX 6800 XT,$491,277,$515,$518,-5.2%,0.2593
Radeon RX 6800,$399,198,$500,$419,-4.9%,0.2926
Radeon RX 6750 XT,$430,2,$390,$430,0.1%,0.2449
Radeon RX 6700 XT,$313,633,$350,$337,-7.0%,0.3189
Radeon RX 6700 10GB,$330,0,$330,$370,-10.8%,0.2657
Radeon RX 6650 XT,$299,17,$250,$300,-0.4%,0.267
Radeon RX 6600 XT,$221,642,$290,$238,-7.4%,0.3534
Radeon RX 6600,$182,337,$190,$204,-10.6%,0.3656
Radeon RX 6500 XT,$141,52,$160,$140,0.8%,0.2178
Radeon RX 6400,$138,23,$149,$137,0.9%,0.1708
