GPU,September eBay Price,QTY Sold,Retail Price,Aug eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$335,225,"$1,200",$335,0.1%,0.2925
GeForce RTX 2080 Super,$243,91,$700,$232,4.7%,0.357
GeForce RTX 2080,$211,109,$700,$206,2.5%,0.396
GeForce RTX 2070 Super,$191,152,$500,$189,0.6%,0.4108
GeForce RTX 2070,$159,157,$500,$169,-5.8%,0.4414
GeForce RTX 2060 Super,$165,119,$400,$160,3.1%,0.4004
GeForce RTX 2060,$131,243,$215,$138,-5.2%,0.4259
GeForce GTX 1660 Ti,$106,141,$295,$112,-4.8%,0.4224
GeForce GTX 1660 Super,$98,393,$213,$101,-3.4%,0.4636
GeForce GTX 1660,$86,82,$220,$88,-1.6%,0.467
GeForce GTX 1650 Super,$84,64,$250,$93,-9.7%,0.4033
GeForce GTX 1650 GDDR6,$87,93,$130,$82,6.3%,0.3312
GeForce GTX 1650,$94,74,$200,$102,-7.7%,0.2869
GeForce GTX 1630,$105,2,$120,$69,52.2%,0.1606
Radeon RX 5700 XT,$115,796,$400,$133,-13.6%,0.64
Radeon RX 5700,$115,83,$350,$119,-3.1%,0.5594
Radeon RX 5600 XT,$83,108,$280,$97,-14.2%,0.6955
Radeon RX 5500 XT 8GB,$94,18,$200,$91,3.4%,0.4214
Radeon RX 5500 XT 4GB,$70,10,$170,$67,4.7%,0.4777
