GPU,eBay Price,QTY Sold,Month
GeForce RTX 3090 Ti,"$2,300",66,April 2022
GeForce RTX 3090,"$1,770",999,April 2022
GeForce RTX 3080 Ti,"$1,291",665,April 2022
GeForce RTX 3080 12GB,"$1,025",90,April 2022
GeForce RTX 3080,"$1,114",1419,April 2022
GeForce RTX 3070 Ti,$779,1037,April 2022
GeForce RTX 3070,$777,1709,April 2022
GeForce RTX 3060 Ti,$657,1747,April 2022
GeForce RTX 3060 12GB,$480,589,April 2022
GeForce RTX 3050,$356,98,April 2022
Radeon RX 6900 XT,"$1,059",186,April 2022
Radeon RX 6800 XT,$845,326,April 2022
Radeon RX 6800,$755,198,April 2022
Radeon RX 6700 XT,$554,628,April 2022
Radeon RX 6600 XT,$422,410,April 2022
Radeon RX 6600,$365,400,April 2022
Radeon RX 6500 XT,$221,61,April 2022
GeForce RTX 2080 Ti,$781,378,April 2022
GeForce RTX 2080 Super,$568,232,April 2022
GeForce RTX 2080,$498,220,April 2022
GeForce RTX 2070 Super,$484,407,April 2022
GeForce RTX 2070,$419,243,April 2022
GeForce RTX 2060 Super,$445,238,April 2022
GeForce RTX 2060,$315,708,April 2022
GeForce GTX 1660 Ti,$303,317,April 2022
GeForce GTX 1660 Super,$317,764,April 2022
GeForce GTX 1660,$257,201,April 2022
GeForce GTX 1650 Super,$203,138,April 2022
GeForce GTX 1650,$194,434,April 2022
Radeon RX 5700 XT,$550,1004,April 2022
Radeon RX 5700,$489,167,April 2022
Radeon RX 5600 XT,$358,355,April 2022
Radeon RX 5500 XT 8GB,$249,87,April 2022
Radeon RX 5500 XT 4GB,$179,40,April 2022
GeForce RTX 4090,"$1,663",342,April 2023
GeForce RTX 4080,"$1,054",171,April 2023
GeForce RTX 4070 Ti,$801,90,April 2023
GeForce RTX 4070,$734,28,April 2023
GeForce RTX 3090 Ti,$947,131,April 2023
GeForce RTX 3090,$758,1206,April 2023
GeForce RTX 3080 Ti,$651,539,April 2023
GeForce RTX 3080 12GB,$602,71,April 2023
GeForce RTX 3080,$496,1205,April 2023
GeForce RTX 3070 Ti,$432,527,April 2023
GeForce RTX 3070,$349,1879,April 2023
GeForce RTX 3060 Ti,$308,1183,April 2023
GeForce RTX 3060,$280,712,April 2023
GeForce RTX 3050,$220,161,April 2023
Radeon RX 7900 XTX,$954,44,April 2023
Radeon RX 7900 XT,$758,27,April 2023
Radeon RX 6950 XT,$611,65,April 2023
Radeon RX 6900 XT,$544,200,April 2023
Radeon RX 6800 XT,$461,249,April 2023
Radeon RX 6800,$400,183,April 2023
Radeon RX 6750 XT,$334,31,April 2023
Radeon RX 6700 XT,$291,658,April 2023
Radeon RX 6700 10GB,$282,12,April 2023
Radeon RX 6650 XT,$242,59,April 2023
Radeon RX 6600 XT,$208,378,April 2023
Radeon RX 6600,$173,298,April 2023
Radeon RX 6500 XT,$103,64,April 2023
Radeon RX 6400,$134,39,April 2023
Intel Arc A770 16GB,$322,24,April 2023
Intel Arc A770 8GB,$320,1,April 2023
Intel Arc A750,$211,10,April 2023
Intel Arc A380,$118,10,April 2023
GeForce RTX 2080 Ti,$379,289,April 2023
GeForce RTX 2080 Super,$265,207,April 2023
GeForce RTX 2080,$230,194,April 2023
GeForce RTX 2070 Super,$229,323,April 2023
GeForce RTX 2070,$201,147,April 2023
GeForce RTX 2060 Super,$201,143,April 2023
GeForce RTX 2060,$168,255,April 2023
GeForce GTX 1660 Ti,$135,235,April 2023
GeForce GTX 1660 Super,$125,743,April 2023
GeForce GTX 1660,$109,119,April 2023
GeForce GTX 1650 Super,$103,104,April 2023
GeForce GTX 1650,$112,209,April 2023
Radeon RX 5700 XT,$156,733,April 2023
Radeon RX 5700,$139,110,April 2023
Radeon RX 5600 XT,$122,131,April 2023
Radeon RX 5500 XT 8GB,$101,45,April 2023
Radeon RX 5500 XT 4GB,$83,18,April 2023
GeForce RTX 3090 Ti,"$1,247",123,August 2022
GeForce RTX 3090,$957,772,August 2022
GeForce RTX 3080 Ti,$836,557,August 2022
GeForce RTX 3080 12GB,$771,128,August 2022
GeForce RTX 3080,$665,1066,August 2022
GeForce RTX 3070 Ti,$547,556,August 2022
GeForce RTX 3070,$463,1284,August 2022
GeForce RTX 3060 Ti,$424,1253,August 2022
GeForce RTX 3060,$339,722,August 2022
GeForce RTX 3050,$279,78,August 2022
Radeon RX 6950 XT,$914,11,August 2022
Radeon RX 6900 XT,$685,266,August 2022
Radeon RX 6800 XT,$563,144,August 2022
Radeon RX 6800,$486,102,August 2022
Radeon RX 6750 XT,$456,14,August 2022
Radeon RX 6700 XT,$378,373,August 2022
Radeon RX 6650 XT,$345,22,August 2022
Radeon RX 6600 XT,$274,183,August 2022
Radeon RX 6600,$232,218,August 2022
Radeon RX 6500 XT,$153,50,August 2022
Radeon RX 6400,$143,14,August 2022
GeForce RTX 2080 Ti,$492,322,August 2022
GeForce RTX 2080 Super,$371,198,August 2022
GeForce RTX 2080,$335,153,August 2022
GeForce RTX 2070 Super,$302,345,August 2022
GeForce RTX 2070,$268,193,August 2022
GeForce RTX 2060 Super,$267,185,August 2022
GeForce RTX 2060,$217,340,August 2022
GeForce GTX 1660 Ti,$172,190,August 2022
GeForce GTX 1660 Super,$178,580,August 2022
GeForce GTX 1660,$154,139,August 2022
GeForce GTX 1650 Super,$147,133,August 2022
GeForce GTX 1650,$138,247,August 2022
Radeon RX 5700 XT,$276,802,August 2022
Radeon RX 5700,$256,132,August 2022
Radeon RX 5600 XT,$192,216,August 2022
Radeon RX 5500 XT 8GB,$159,38,August 2022
Radeon RX 5500 XT 4GB,$118,20,August 2022
GeForce RTX 4090,"$1,679",383,August 2023
GeForce RTX 4080,"$1,194",242,August 2023
GeForce RTX 4070 Ti,$763,226,August 2023
GeForce RTX 4070,$651,181,August 2023
GeForce RTX 4060 Ti 16GB,$602,3,August 2023
GeForce RTX 4060 Ti,$411,56,August 2023
GeForce RTX 4060,$334,20,August 2023
GeForce RTX 3090 Ti,$935,74,August 2023
GeForce RTX 3090,$740,691,August 2023
GeForce RTX 3080 Ti,$597,337,August 2023
GeForce RTX 3080 12GB,$480,71,August 2023
GeForce RTX 3080,$404,907,August 2023
GeForce RTX 3070 Ti,$347,340,August 2023
GeForce RTX 3070,$282,1385,August 2023
GeForce RTX 3060 Ti,$248,1025,August 2023
GeForce RTX 3060,$219,704,August 2023
GeForce RTX 3050,$171,113,August 2023
Radeon RX 7900 XTX,$871,36,August 2023
Radeon RX 7900 XT,$709,46,August 2023
Radeon RX 7600,$233,4,August 2023
Radeon RX 6950 XT,$550,50,August 2023
Radeon RX 6900 XT,$513,134,August 2023
Radeon RX 6800 XT,$417,204,August 2023
Radeon RX 6800,$355,112,August 2023
Radeon RX 6750 XT,$321,22,August 2023
Radeon RX 6700 XT,$257,534,August 2023
Radeon RX 6700 10GB,$227,6,August 2023
Radeon RX 6650 XT,$216,24,August 2023
Radeon RX 6600 XT,$169,422,August 2023
Radeon RX 6600,$143,270,August 2023
Radeon RX 6500 XT,$85,71,August 2023
Radeon RX 6400,$116,95,August 2023
Intel Arc A770 16GB,$302,31,August 2023
Intel Arc A770 8GB,$255,1,August 2023
Intel Arc A750,$196,15,August 2023
